full_text_norm,created_at,id_str,user_name,user_screen_name,,label
Propokator perusak negara segera aparat ke TKP Cc @DivHumas_Polri @Puspen_TNI @KejaksaanRI @BareskrimPolri #KPUMelayani #SaveErinTaulany,4/24/2019 11:07,1.12E+18,#SulSel#,Landolendong2,,hoax
Itu settingan Itu pasti koran nya dibayar Kpu curang qc curang #saveerintaulany,4/24/2019 4:15,1.12E+18,#SINTING#saveerintaulany,Juan_ramosh,,hoax
Semoga ibu diberi hidayah dan panjang umur #JokowiAminMenang #saveerintaulany,4/24/2019 3:58,1.12E+18,#SINTING#saveerintaulany,Juan_ramosh,,hoax
Pak Polisi... ini emak-emak yang laporin istrinya Andre tolong dicek akun medsos mereka. Palingan postinganÂ²nya juga banyak yang menghina Pak Jokowi... #SaveErinTaulany ,4/24/2019 0:30,1.12E+18,â™¥Â â™¦I NYOMAN AVNANÂ â™£Â â™ ,avnan_anarchy,,hoax
@AnakPamekasan tu yg di fb fotox asli atau akun penebar hoax. Sy kembali TEGASKAN kalimat panglima NKRI HARGA MATI. TNI ada benteng NKRI. @DivHumas_Polri SEGERA tindak lanjut. #SaveErinTaulany,4/23/2019 23:55,1.12E+18,Papua Wesprianus Heipon,wesprianus,,hoax
Nuuum...Hanum... Mending ngemut kono lho nduk... #SaveErinTaulany,4/23/2019 17:17,1.12E+18,Mas Moel,djumoel,,hoax
#SaveTaulany #SaveErinTaulany,4/23/2019 15:50,1.12E+18,Dinny Aryanti,DinnyAryanti,,hoax
mariiii kita laporkan balik mrka wkwkwkwkw pst mrka jiper.. blm jd presiden aj pengikutnya dah ky taik.. #saveerintaulany,4/23/2019 14:37,1.12E+18,jokowiorangbaik,metta771,,hoax
si umi pipik sok ngasih hadis2an sm bu erin. lg nyepongin burung laki temannya ingt hadis nga loe pik? #SaveErinTaulany,4/23/2019 14:35,1.12E+18,jokowiorangbaik,metta771,,hoax
Yg jujur versi mba ini adl ketika nangis2 membela sandiwara oplas ratu hoax. #SaveTaulany #SaveErinTaulany #SaveSanity,4/23/2019 9:34,1.12E+18,For God and Country,rico_cp,,hoax
#SaveErinTaulany,4/23/2019 9:01,1.12E+18,Tarcisius Christophorus Tjan Fen Fat TOCarm,TTocarm,,hoax
#SaveErinTaulany ,4/23/2019 7:50,1.12E+18,andi panjaitan,AndipanjaitanP,,hoax
#SaveTaulany #SaveErinTaulany,4/23/2019 6:56,1.12E+18,Hernita,Hernita1371,,hoax
Alhamdulillah.... Semoga semakin naik lg jumlahnya Aamiin.. #SaveTaulany #SaveErinTaulany,4/23/2019 6:52,1.12E+18,Hernita,Hernita1371,,hoax
#SelamatJokowiAmin #JokowiAminSudahMenang #SaveErinTaulany ,4/23/2019 5:46,1.12E+18,ken,KenHamur,,hoax
... #SaveErinTaulany,4/23/2019 4:49,1.12E+18,Minimal iQ,dhenGkhul_iQ,,hoax
pasukan lebay online bergoyang... #SaveErinTaulany,4/23/2019 4:13,1.12E+18,Sapuri Hati,SapuriH,,hoax
Pak Jokowi dihina-hina ribuan orang aja ga gitu2 amat. lagian yg disebutin dia juga kayaknya ga salah-salah amat kan ya?? #SaveErinTaulany,4/23/2019 4:02,1.12E+18,Ano Lubis,AnoLubis,,hoax
tujuan mereka hanya semata mata memperkeruh suasana. Bikin kegaduhan #SaveErinTaulany,4/23/2019 3:39,1.12E+18,Bukan kaleng-kaleng,AD1CKA1987,,hoax
Alhamdulillah saya bangga jadi mysrkat JATIM Akhirnya pak @jokowi bisa pimpin kembali negri ini... #SaveErinTaulany,4/23/2019 3:34,1.12E+18,Bukan kaleng-kaleng,AD1CKA1987,,hoax
#SaveErinTaulany,4/23/2019 3:23,1.12E+18,frengkyhidayat71,frengkyhidayat7,,hoax
Yg mengolok-olok Presiden yg sah bgm?? Kpn minta maafnya??? Apa ada UU ?? #SaveErinTaulany #savepresiden,4/23/2019 3:21,1.12E+18,STAR- SUN STRONG,ongmar,,hoax
#SelamatJokowiAmin #JokowiAminSudahMenang #SaveErinTaulany ,4/23/2019 3:08,1.12E+18,ken,KenHamur,,hoax
#SaveTaulany #SaveErinTaulany ,4/23/2019 2:58,1.12E+18,pongole,Ariph_Mbatmbut,,hoax
",..cuma satu,.. #SaveErinTaulany",4/23/2019 1:44,1.12E+18,Hermansjah DHA,hermansjahdha,,hoax
Semangat ya bang @andretaulany74 #SaveTaulany #SaveErinTaulany,4/23/2019 1:24,1.12E+18,Bundane Cici,BundanyaCici,,hoax
#SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany,4/23/2019 0:57,1.12E+18,godham,godham5,,hoax
"Keren,ashyiap Pleciden.....! #SaveTaulany #SaveErinTaulany",4/23/2019 0:39,1.12E+18,Roni Milanisti,Roni_Milanelo,,hoax
"Neno megang kunci sorga, Pipik memegang kunci neraka, aku milih pegang kunci kasir aja. Siap presiden #SaveTaulany #SaveErinTaulany",4/23/2019 0:27,1.12E+18,Dyaz Widy,DyazWidy1,,hoax
Ngelawan kampret emang harus pke cara kampret #SaveErinTaulany Btw mbak @hanumrais sudah bezuk kartini masa kini di sel???,4/23/2019 0:25,1.12E+18,Fitria Rasyid,FitriaRasyid1,,hoax
"Widihhhh..umi pipik yg memutuskan Erin Taulany berapa lama hukuman mbk Erin di neraka, keren mantan perempuan yg hoby dugem bs mensejajarkan diri dgn TUHAN..kalo wartawan Korea ini di hukum di neraka berapa puluh tahun ya kiraÂ² umi?? #SaveTaulany #SaveErinTaulany ",4/23/2019 0:06,1.12E+18,Dyaz Widy,DyazWidy1,,hoax
Jadi ingat kasusnya ratna sarumpaet. #SaveTaulany #SaveErinTaulany ,4/22/2019 23:58,1.12E+18,M.H. Â ğŸ‡²ğŸ‡¨ Netizen Indonesia Â ğŸ‡²ğŸ‡¨,miftahhudaID,,hoax
#SaveErinTaulany,4/22/2019 23:13,1.12E+18,Hanny,Deariy,,hoax
Koq pede ya ngomong kejujuran #SaveTaulany #SaveErinTaulany,4/22/2019 22:08,1.12E+18,Poolgank,deckykris,,hoax
#SaveErinTaulany,4/22/2019 21:40,1.12E+18,agus Ali,agus_aliz,,hoax
Ngaca dulu Num.... #saveerintaulany #SaveErinTaulany,4/22/2019 20:30,1.12E+18,Yulie de Groot,YuliedeGroot,,hoax
1.Kpu hasil nya beda sama c1 .maaf human eror salah inpt 1. Menghina prsiden.maaf akun di retas 1. Jabatan di jual beli.maaf aku d jebak 1. Hutang luar negeri banyak.maaf kirain ga banyak yang perhatiin #maaf #KawalPemilu #AyoKPUTransparan #CapekLihatKamuHalu #saveerintaulany,4/22/2019 18:16,1.12E+18,akang ola,akang_ola,,hoax
"Terima kasih semuanya atas support dan dukungan nya kpd bang Andre dan keluarga , smg kasus ini cepat selesai dn tidak berlarut2 #saveerintaulany #staystrongandretaulany",4/22/2019 16:12,1.12E+18,WR,Wirdataulany,,hoax
#SaveTaulany #saveerintaulany,4/22/2019 16:00,1.12E+18,Dini Aprianti,hers_coffee,,hoax
Bener banget.. Kaca mana kaca... #SaveTaulany #saveerintaulany,4/22/2019 15:57,1.12E+18,Dini Aprianti,hers_coffee,,hoax
@Fahrihamzah dl dong klu mo dipolisikan! Jd biar berimbang. Toh kata2nya sama. #SaveTaulany #SaveErinTaulany,4/22/2019 15:24,1.12E+18,Bastian Niro,BastianNiro,,hoax
Dont give up #SaveErinTaulany Ciapp preciden,4/22/2019 15:06,1.12E+18,Ferry Hilmansyah,HilmansyahFerry,,hoax
#SaveTaulany #SaveErinTaulany,4/22/2019 14:30,1.12E+18,Arsens Gunner,Arsens43161741,,hoax
#saveerintaulany,4/22/2019 14:29,1.12E+18,Arsens Gunner,Arsens43161741,,hoax
#SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany,4/22/2019 14:26,1.12E+18,Wiwin,Wiwin97160658,,hoax
Beginilah kalo terjebak urusan sama orang2 jahat #SaveTaulany #saveerintaulany,4/22/2019 14:25,1.12E+18,RIO,SkyRio999,,hoax
#SaveTaulany #SaveErinTaulany,4/22/2019 14:19,1.12E+18,Mahisa Agni,MahisaAgni4,,hoax
#SaveTaulany #saveerintaulany ,4/22/2019 14:05,1.12E+18,MNRamdhan,mnramdhan03,,hoax
#SaveErinTaulany #SaveTaulany,4/22/2019 14:01,1.12E+18,Mighisela,Mighisela_laura,,hoax
"Astagfirullahhhhhh.....masih aja gk nyadar..!!! Omonganmu ini pas banget buat kamu sendiri..! Nyadar gk sih??? Menilai org itu sangat mudah,tp menasehati diri sendiri itu butuh keimanan. Sadarkan dirimu dulu sebelum menilai orang lain. #SaveErinTaulany",4/22/2019 13:44,1.12E+18,#siap plesident,HD_hadirochman,,hoax
"Iya tuh,ada yg bilang sinting,plonga plongo,antek asing,pki,macam lah...emang kaum seperti mereka itu ky nya udah gk punya urat malu... #SaveTaulany #saveerintaulany",4/22/2019 13:09,1.12E+18,Hari Bukhory,BukhoryHari,,hoax
#saveerintaulany,4/22/2019 12:57,1.12E+18,STAR- SUN STRONG,ongmar,,hoax
Belum jadi aja Sudah pengen bungkam mulut Erin.... Bayangkan berapa banyak LAKBAN buat nutup mulut Warga Negara RI atau pada diculik aja... #saveerintaulany #SaveTaulany,4/22/2019 12:20,1.12E+18,MbahLanang,MbahLanang14,,hoax
#SaveTaulany #SaveErinTaulany,4/22/2019 12:17,1.12E+18,ined Takeda,TakedaIned,,hoax
Patroli303 - Andre Melaporkan Instagram Milik Istrinya Dihack ke Polda Metro Jaya #SaveErinTaulany #TWICE_FANCY #TNIDanPolriPahlawanPemilu #DokumenkanC1DiKecamatan #MauMenangKokMainCurang #KEBOHONGANSEXYKILLER,4/22/2019 12:00,1.12E+18,Felisia Putri,FelisiaPutri6,,hoax
#saveerintaulany,4/22/2019 11:44,1.12E+18,Warung Jurnalis,WarungJurnalis,,hoax
Apa bukan kubu sebelah tuh yg lebay ????? #SaveErinTaulany,4/22/2019 11:41,1.12E+18,gsbudi,chef_master69,,hoax
Seterah lo sama kluarga lo yg betato #SaveErinTaulany,4/22/2019 11:37,1.12E+18,choky_purba,simalungun13,,hoax
Kalo Bukan SINTING/GILA Nama nya apa?. Kan Emang Bener... #saveerintaulany #SaveTaulany,4/22/2019 11:37,1.12E+18,Jonathan Eri,EriSujono,,hoax
"Kalau istri Andre diperkarakan, harusnya sebagian besar warga RI juga. Wong pendapat kami sama #saveandretaulany #SaveErinTaulany #PrabowoSinting",4/22/2019 10:35,1.12E+18,#JokowiTakutFPIÂ ğŸ‘,wakilgubernurKW,,hoax
Dan ini hanya berlaku bagi Prabowo-Sandiaga. Tidak untuk Jokowi-Amin. Cara pikir seperti ini kah yg ingin menguasai negeri ini? Naudzubillahi min dzalik. #IndonesianElectionHeroes #PrabowoHalu #PrabowoMenangHoax #SaveTaulany #saveerintaulany #akalsehat,4/22/2019 10:35,1.12E+18,RIO,SkyRio999,,hoax
Di hack pikiran bawah sadar haha #saveerintaulany #SaveTaulany,4/22/2019 10:32,1.12E+18,Rezman,yanresman,,hoax
Semuanya jadi... Jadi gila. #SaveErinTaulany,4/22/2019 10:28,1.12E+18,2P,Nunungtalok74,,hoax
"Kalau Prabowo ngga usah dilaporinlah.... Ngga ada lawakan kalau dia di polisikan, lumayan dapat hiburan segar kalau ada Prabowo... Lawakannya murni tanpa dibuat buat siap presiden..!! #BantuKawalPemilu #01JokowiAminSudahMenang #SaveTaulany #saveerintaulany",4/22/2019 10:19,1.12E+18,clown face zonky donkey,Totok0912,,hoax
"Lagian sape percaya ama mulut PELAKOR,,,??? #SaveErinTaulany",4/22/2019 10:14,1.12E+18,Bang Tinok,BangTinok,,hoax
"Kalau @erintaulany ditangkap & dipenjarakan, Fahri Hamzah juga harus ditangkap & dipenjarakan, krn dia juga bilang Sinting ke Jokowi. #saveerintaulany #harusadil",4/22/2019 10:03,1.12E+18,Leonard A.F Tanasale,leonardtanasale,,hoax
"Sebentar dipuja, nanti kalau beda dihina, hadehh #Rajahalu #SaveTaulany #SaveErinTaulany #OleOut",4/22/2019 10:02,1.12E+18,Rudi M Sitompul,Rudi_M_Sitompul,,hoax
Untuk Membuktikan apakah Prabowo gila Ato tidak maka harus di buktikan di pengadilan dgn menghadirkan dokter ahli jiwa untuk memastikan kejiwaan Prabowo.skaligus untuk membuktikan apakah Erin Taulany menghina Prabowo Ato Erin mengatakan kebenaran. #SaveTaulany #SaveErinTaulany,4/22/2019 9:58,1.12E+18,#JOKOWI TETAP PRESIDEN RI2019-2024Â ğŸ‡²ğŸ‡¨Â ğŸ‡²ğŸ‡¨Â ğŸ‡²ğŸ‡¨,carina_niken,,hoax
makjleb #SaveErinTaulany,4/22/2019 9:52,1.12E+18,anjelina,anjelin96159678,,hoax
#SaveTaulany #SaveErinTaulany #PrabowoHalu,4/22/2019 9:42,1.12E+18,Maria Magdalena Beriam,BeriamMaria,,hoax
#SaveTaulany #saveerintaulany ,4/22/2019 9:37,1.12E+18,Generasi Micin (FZ&FH),WPurnayadi,,hoax
#SaveTaulany #saveerintaulany #saveerintaulany,4/22/2019 9:36,1.12E+18,T.H_Ardianto,Pax_O_Pix,,hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo,4/22/2019 9:35,1.12E+18,Rizkywibowo,Rizkywi55601472,,hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo Bantu share,4/22/2019 9:33,1.12E+18,Rizkywibowo,Rizkywi55601472,,hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo Bantu share,4/22/2019 9:32,1.12E+18,Rizkywibowo,Rizkywi55601472,,hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo Bantu share,4/22/2019 9:32,1.12E+18,Rizkywibowo,Rizkywi55601472,,hoax
u apa ada #Saveerintaulany #SaveTaulany akhirnya ngeules ky gini.. hadeuhh...,4/22/2019 9:28,1.12E+18,SADAR,Demas06,,hoax
02 sinting berjamaah.. #SaveTaulany #SaveErinTaulany,4/22/2019 9:13,1.12E+18,Mahisa Agni,MahisaAgni4,,hoax
02 sinting berjamaah... #SaveTaulany #SaveErinTaulany,4/22/2019 9:12,1.12E+18,Mahisa Agni,MahisaAgni4,,hoax
Kurang ajar yg hack anda luar biasa hahhhaa #SaveErinTaulany,4/22/2019 9:06,1.12E+18,WOWOKALAH,dionhero,,hoax
@Fahrihamzah pecundang #SaveErinTaulany,4/22/2019 8:40,1.12E+18,Maisa,Maisa987,,hoax
#SaveTaulany #saveerintaulany,4/22/2019 8:39,1.12E+18,Roni Milanisti,Roni_Milanelo,,hoax
Iâ€™m blessed having you as President of Indonesian #JokowiWinElection #SaveForSrilanka #SaveErinTaulany,4/22/2019 8:36,1.12E+18,juni hegelstad,HegelstadJuni,,hoax
"Mungkin karena yg buat insta story adalah @erintaulany makannya heboh, coba kalo gue yg buat, pasti adem2 aja. Dia cuma repost pemberitaan media luar loh, dan emang agak ga sehat aja sih deklarasi kemenangan di saat penghitungan suara masi dilakukan #SaveTaulany #saveerintaulany",4/22/2019 8:32,1.12E+18,MTRSR,mutiarasari__,,hoax
Di tunggu parodi yg lain mas bro.. #SaveTaulany #SaveErinTaulany,4/22/2019 8:31,1.12E+18,â™ Jobbut,robert_samone,,hoax
#saveerintaulany,4/22/2019 8:30,1.12E+18,Ip Man,ep_freddy,,hoax
Umi pipik dulunya kan perempuan gk bener lalu tobat tpi stelah di tinggal suaminya kok jdi kumat lg ya (sepertinya) #SaveTaulany #SaveErinTaulany,4/22/2019 8:27,1.12E+18,TheHashTagForEvi,Supriatun9,,hoax
Saya dukung Bang Andre #2019mainpresidenpresidenan #SaveTaulany #saveerintaulany ,4/22/2019 8:12,1.12E+18,margi,marghizola,,hoax
"Paling gampang memang Koreksi kesalahan org lain , padahal 1 jari menunjuk ke orang lain 4 jari lain menunjuk diri sendiri. Tapi mana faham mereka , merasa manusia paling Bener sejagad .. #SaveTaulany #saveerintaulany ",4/22/2019 8:11,1.12E+18,@vennejo,vennejo,,hoax
"Istri Andre Taulany Resmi Dipolisikan, Tagar #SaveErinTaulany Langsung Viral ",4/22/2019 8:01,1.12E+18,Kanal247,kanal247dotcom,,hoax
#SaveTaulany #saveerintaulany,4/22/2019 7:59,1.12E+18,ined Takeda,TakedaIned,,hoax
#Saveerintaulany,4/22/2019 7:46,1.12E+18,YasHas,3363yasri,,hoax
Lha emang siting semuanya #saveerintaulany ,4/22/2019 7:32,1.12E+18,Thj,Thj95697572,,hoax
Mungkin dia sudah lelah... #SaveTaulany #saveerintaulany ,4/22/2019 7:31,1.12E+18,Maseko Jogja,MazexoD,,hoax
Penuh angkara murka karena bakal kekalahannya #SaveTaulany #SaveErinTaulany,4/22/2019 7:25,1.12E+18,Yusuf Istiawan,yusufdepunglor,,hoax
"Halah Pipik aja Koq ... BH, Celana Dalam sudah sudah Buka Semua utk Suami Orang. Sok...Sokan Bicara Moral Di Sosmed. Klo Uje Masih Hidup Gak sampe Spt ini Sok2 Jd HAKIM Wahabi Salafy. #SaveTaulany #SaveErinTaulany #politikdasamuka02",4/22/2019 7:24,1.12E+18,Lentera.NKRI #CintaTanahAir #BelaNegara,NkriLentera,,hoax
#SaveTaulany #SaveErinTaulany ,4/22/2019 7:07,1.12E+18,Service Ac Surabaya,ServiceAcSurab5,,hoax
codot bari ke senggol langsung ngamuk jadi geliii #SaveTaulany #SaveErinTaulany,4/22/2019 7:02,1.12E+18,@fand sufriadi,fand09098393,,hoax
#SaveTaulany #saveerintaulany ,4/22/2019 6:53,1.12E+18,Diana Elizabeth Kristianti,DianaEl90244202,,hoax
Gbr nya hoaks bro... editan. Lembaga tsb tdk ada di denmark. Itu lmbaga sosial dn kesenianbdi amrik klo gk salah. #02CurangTeriakCurang #SaveErinTaulany #SaveTaulany,4/22/2019 6:53,1.12E+18,Tukang Kayu,cemaragunung,,hoax
"kasihan kubu pecundang... mau buat baik utk tdk dipermalukan malah buat Hoax, Fitnah & Halu... sebetulnya apa yg dikatakan @erintaulany ttg kubu kampret betul 100% #saveerintaulany",4/22/2019 6:52,1.12E+18,#2019BaniPecatanmasukRSJ,astronelse,,hoax
#SaveTaulany #SaveTaulany #SaveTaulany #SaveTaulany #SaveErinTaulany,4/22/2019 6:48,1.12E+18,Indra Boris,inved_77,,hoax
Ahhciiiyaaapp pleciden!!! #SaveTaulany #saveerintaulany,4/22/2019 6:45,1.12E+18,Pelakor Syari,Chartika_PK,,hoax
Mana Patwal R1 nya? Halu tiada tara. Kalo patwal yang itu mah saat komunitas gue touring juga dikawal mirip gitu Dah bener yg dibilang Erin Taulany. Hahaha. #saveerintaulany ,4/22/2019 6:44,1.12E+18,M E I,kimochiii_,,hoax
"Coba deh loe pikir..,blm ada pengumuman uda ngaku menang,Syukuran 7 juta umat monaslimin,bikin spanduk pelantikan segede gaban sma ormas Anarkis,diarak kya Ondel, konfrensi smpe 3x ky minum obat..kalo Bukan SINTING, terus apa, Malih?? Ape loe,. Ape loe?? #SaveErinTaulany",4/22/2019 6:40,1.12E+18,Bagus3198,bagus3198,,hoax
Saya dan rekan2 pengacara siap bantu @erintaulany sukarela tanpa bayar. #SaveErinTaulany,4/22/2019 6:38,1.12E+18,"Budi S Djaja, S.H.",DjajaBudi,,hoax
Ekpresi dan ungkapan erintaulany adalah bentuk kritik rakyat thdp para pemimpin kita yg tdk menghormati proses konstitusional yg dilakukan oleh KPU #saveerintaulany,4/22/2019 6:35,1.12E+18,Aminullah,Aminull84612420,,hoax
"Yang dilaporin apa? Esensi dari postingan @erintaulany Atau kata Sinting, yang merupakan luapan emosi melihat satu kejadian yang menurut @erintaulany aneh #SaveErinTaulany",4/22/2019 6:34,1.12E+18,"Budi S Djaja, S.H.",DjajaBudi,,hoax
Kalo ada org pikirannya waras belum ada keputusan kpu trus koar2 dah mengklaim dirinya dah jadi Presiden Apakah itu masih di bilang waras?? Maaf cuma nanya #SaveTaulany #SaveErinTaulany ,4/22/2019 6:34,1.12E+18,sovie,Venty1402,,hoax
Gendeng #SaveTaulany #saveerintaulany,4/22/2019 6:32,1.12E+18,Diana Elizabeth Kristianti,DianaEl90244202,,hoax
Maklum yang kalah mah biasanya cengeng gtu #SaveErinTaulany ,4/22/2019 6:26,1.12E+18,WM_twiit19,WTwiit19,,hoax
Makasih mba erintaulany sudah mewakili suara saya #SaveErinTaulany ,4/22/2019 6:22,1.12E+18,sovie,Venty1402,,hoax
Sebaiknya tunggu hasil uji klinis dulu. #SaveTaulany #SaveErinTaulany,4/22/2019 6:20,1.12E+18,Hilmy Wanamulya,HilmyWanamulya,,hoax
#SaveTaulany #SaveErinTaulany ,4/22/2019 6:15,1.12E+18,Jokowi Baik,nixon_fs,,hoax
Sungguh Sinting.. Sangatt Sintingg.. Emanngg Sinnttingg.. Faktanya Dia Memang Sintinggg... #SaveTaulany #saveerintaulany,4/22/2019 6:08,1.12E+18,mama Azra,diansukawati,,hoax
#SaveErinTaulany ,4/22/2019 6:02,1.12E+18,odie.rdz,odie88rdz,,hoax
#SaveTaulany #saveerintaulany ,4/22/2019 5:58,1.12E+18,NINAS Madridista,lhena66,,hoax
#SaveTaulany #SaveErinTaulany news ,4/22/2019 5:58,1.12E+18,â‹† âšS Ê°áµ˜áµˆáµƒ ğ”„ğ”¤ğ”ğ”±ğ”¥ğ”âšŸ â„¢,shda_agatha,,hoax
Baru erin taulany yg brni mengatakan demikian lalu kalian kapan..? #saveErintaulany,4/22/2019 5:56,1.12E+18,jawir bmwijaya,BmwRentcar,,hoax
Kampret mmg sinting #SaveTaulany #SaveErinTaulany,4/22/2019 5:45,1.12E+18,M.Syarofi,iforays,,hoax
